[2023-11-23 21:50:16,725: INFO: main: >>>> stage Data ingestion stage started <<<<]
[2023-11-23 21:50:16,726: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-23 21:50:16,728: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-23 21:50:16,728: INFO: common: created directory at: artifacts]
[2023-11-23 21:50:16,728: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-23 21:50:16,729: INFO: data_ingestion: downloading data from https://drive.google.com/file/d/1B4KfV089MgvTnffdHtUQYIpVkUH5ehpd/view?usp=sharing into file artifacts/data_ingestion/kidney-ct-scan-image.zip]
[2023-11-23 21:50:26,811: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1B4KfV089MgvTnffdHtUQYIpVkUH5ehpd/view?usp=sharing into firl artifacts/data_ingestion/kidney-ct-scan-image.zip]
[2023-11-23 21:50:28,338: INFO: main: >>>> stage Data ingestion stage completed <<<<<

x=======x]
[2023-11-23 21:50:28,338: INFO: main: ********]
[2023-11-23 21:50:28,338: INFO: main: >>>>stage Prepare base model started >>>>>>>]
[2023-11-23 21:50:28,340: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-23 21:50:28,341: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-23 21:50:28,341: INFO: common: created directory at: artifacts]
[2023-11-23 21:50:28,341: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-11-23 21:50:28,701: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2023-11-23 21:50:28,935: INFO: main: >>>>>stage Prepare base model completed <<<<<
]
